행정구역,총인구수,연령구간인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
세종시,"313,055","43,601","24,103","12,441","6,167",859,31
조치원읍,"44,153","9,155","4,768","2,916","1,289",173,9
연기면,"2,645",850,414,264,151,20,1
연동면,"3,255","1,373",623,401,306,42,1
부강면,"6,344","1,958",909,670,340,39,0
금남면,"9,062","3,458","1,665","1,099",604,86,4
장군면,"6,103","1,905",961,545,357,40,2
연서면,"7,703","2,726","1,273",886,502,62,3
전의면,"5,987","2,091",915,686,427,62,1
전동면,"3,731","1,642",796,477,331,35,3
소정면,"2,636",849,372,294,167,15,1
한솔동,"19,335","1,603",962,426,184,30,1
새롬동,"45,779","3,205","2,220",648,284,53,0
도담동,"32,175","2,897","1,660",800,387,50,0
아름동,"23,957","1,614","1,021",382,175,36,0
종촌동,"29,910","2,614","1,606",709,258,38,3
고운동,"28,771","2,427","1,664",579,157,26,1
소담동,"18,220","1,375",980,273,97,25,0
보람동,"15,718","1,260",883,260,100,16,1
대평동,"7,571",599,411,126,51,11,0